Index,Golden,Gemma,GPT4,GPT35,MetaLlama
CPP_36,"There are 1 functions in the code:
function[1] takes 1 inputs: int n.
function[1] is counting the number of times the digit 7 appears in integers less than n which are divisible by 11 or 13 on n, and outputs an integer count.","There is 1 function in the code:
function[1] takes 1 inputs: i32 n.
function[1] is calculating fizz_buzz sequence up to n on n, and outputs i32.","There is 1 function in the code, function[1] takes 1 input: int n. function[1] is calculating the number of integers from 1 to n that are divisible by both 11 and 13, and outputs the count of such integers.","There is 1 function in the code, function[1] takes 1 input: i32 number. Function[1] is performing a series of calculations on the input number and outputs an integer value.","There is 1 function in the code, function[1] takes 1 input: i32 number. function[1] is performing a fizz buzz operation on number, and outputs an i32 value."
CPP_37,"There are 1 functions in the code: function[1] takes 1 inputs: vector<float> l. function[1] is sorting the values at the even indices of the input vector l while keeping the values at the odd indices unchanged, and outputs a vector<float> that reflects these changes.",,"There are 3 functions in the code:
- function[1] takes 2 inputs: vector<float> numbers, vector<float> sorted_numbers. function[1] is sorting the elements of numbers in ascending order, and outputs void.
- function[2] takes 2 inputs: vector<float> numbers, float threshold. function[2] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.
- function[3] takes 2 inputs: vector<float> numbers, vector<float> sorted_numbers. function[3] is performing a final insertion sort on the sorted_numbers, and outputs void.",,
CPP_23,"There are 1 functions in the code: function[1] takes 1 inputs: string str. function[1] is returning the length of the given string on str, and outputs an integer representing the length.","There is 1 function in the code: function[1] takes 1 input: string str. function[1] is calculating the length of the string on str, and outputs an integer value representing the length. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: class.std::__cxx11::basic_string str. function[1] is calculating the length of the input string str, and outputs an integer value representing the length.","There is 1 function in the code, function[1] takes 1 input: class.std::__cxx11::basic_string* str. Function[1] is calculating the length of the input string and outputs the length as an integer.","There is 1 function in the code, function[1] takes 1 input: string s. function[1] is getting the length of the string on s, and outputs an integer value representing the length of the string."
CPP_4,"There are 1 functions in the code: function[1] takes 1 input: vector<float> numbers. function[1] is calculating the Mean Absolute Deviation around the mean of the dataset on numbers, and outputs a float value representing the Mean Absolute Deviation.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is calculating the mean absolute deviation of the elements in numbers and outputs a float value representing the mean absolute deviation.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] calculates the mean absolute deviation on the input vector numbers and outputs a float value.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is calculating the mean absolute deviation of the elements in the vector on numbers, and outputs the calculated mean absolute deviation."
CPP_118,"There are 1 functions in the code: function[1] takes 1 inputs: string word. function[1] is finding the closest vowel that stands between two consonants from the right side of the word, word, and outputs a string containing the closest vowel or an empty string if no such vowel exists.",,"There is 1 function in the code, function[1] takes 2 inputs: vector<char> inputString, vector<char> vowels. function[1] is finding the closest vowel in the input string, inputString, vowels, and outputs a string containing the closest vowel.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_130,"There are 1 functions in the code:
function[1] takes 1 inputs: int n.
function[1] is generating a vector of the first n + 1 numbers of the Tribonacci sequence on n, and outputs a vector<int> containing the sequence.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> numbers, int value. Function[1] is reallocating and inserting an element into the vector, and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_124,"There are 1 functions in the code: function[1] takes 1 inputs: string date. function[1] is validating the given date string based on specific rules on date, and outputs a boolean value indicating if the date is valid.",,"There is 1 function in the code, function[1] takes 1 input: vector<string> dateString. function[1] is validating if the date represented by dateString is a valid date, and outputs a boolean value indicating the validity of the date.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_143,"There are 1 functions in the code: function[1] takes 1 inputs: string sentence. function[1] is returning a string that contains the words from the original sentence whose lengths are prime numbers on sentence, and outputs a string.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<string> sentence, vector<string> words. Function[1] is checking for the presence of words in the given sentence, and outputs a boolean value indicating if the words exist in the sentence.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_157,"There are 1 functions in the code:
function[1] takes 3 inputs: float a, float b, float c.
function[1] is checking if the three sides form a right-angled triangle on a, b, c, and outputs a boolean value indicating if they do.","There is 1 function in the code:
function[1] takes 3 inputs: float a, float b, float c.
function[1] is checking if three given floats form a right-angled triangle on a, b, c, and outputs a boolean value indicating if they do. 
<|im_end|>","There is 1 function in the code, function[1] takes 3 inputs: float a, float b, float c. function[1] is checking if the given three sides can form a right angle triangle on a, b, c, and outputs a boolean value indicating if they can.","There is 1 function in the code, function[1] takes 3 inputs: float input1, float input2, float input3. Function[1] is calculating the sides of a triangle using the inputs as the lengths of the sides, and outputs a boolean value indicating if it forms a right-angle triangle.","There is 1 function in the code, function[1] takes 3 inputs: float %0, float %1, float %2. function[1] is checking if three numbers can form a right-angled triangle on %0, %1, %2, and outputs a boolean value indicating if such a triangle can be formed."
CPP_87,"There are 1 functions in the code: function[1] takes 2 inputs: vector<vector<int>> lst, int x. function[1] is finding coordinates of the integer x in the nested vector lst, and outputs a vector of vectors containing the coordinates of x in the format {{row, column}}.",,"There are 2 functions in the code: 
- function[1] takes 3 inputs: vector<int> numbers, vector<int> other_numbers, int value. function[1] is retrieving a row from the vector based on the given value and outputs void.
- function[2] takes 1 inputs: vector<int> numbers. function[2] is destructing the vector and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_93,"There are 1 functions in the code: function[1] takes 1 inputs: string message. function[1] is encoding the message by swapping the case of all letters, replacing all vowels with the letter that appears 2 places ahead in the English alphabet on message, and outputs a string.",,"There are 1 functions in the code: function[1] takes 2 inputs: %""class.std::__cxx11::basic_string""* s, %""class.std::__cxx11::basic_string""* input. function[1] is encoding the input string by transforming its characters based on specific conditions, and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_44,"There are 1 functions in the code: function[1] takes 2 inputs: int x, int base. function[1] is changing the numerical base of the input number x to the specified base, and outputs a string representation after the conversion.",,"There are 2 functions in the code: function[1] takes 3 inputs: vector<string> str, int base, int value. function[1] is changing the base representation of the given value and outputs a modified string. function[2] takes 4 inputs: vector<string> str, int (*func)(char*, long, char*, __va_list_tag*), long size, char* format. function[2] is formatting the string based on the provided format and outputs a modified string.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_50,"There are 2 functions in the code:
function[1] takes 1 input: string s.
function[1] is encoding the input string by shifting every character by 5 in the alphabet on s, and outputs a string.
function[2] takes 1 input: string s.
function[2] is decoding the input string that was encoded with the encode_shift function by shifting every character back by 5 in the alphabet on s, and outputs a string.",,"There are 2 functions in the code: 
- function[1] takes 2 inputs: %""class.std::__cxx11::basic_string""* s, %""class.std::__cxx11::basic_string""* input. function[1] is encoding the input string using a shift cipher and outputs a void. 
- function[2] takes 2 inputs: %""class.std::__cxx11::basic_string""* s, %""class.std::__cxx11::basic_string""* input. function[2] is decoding the encoded string back to its original form using a shift cipher and outputs a void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_78,"There are 1 functions in the code:
function[1] takes 1 inputs: string num. function[1] is counting the number of hexadecimal digits that are primes on num, and outputs an integer representing the count of prime hexadecimal digits.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<string> inputString. function[1] is counting the occurrences of characters in the input string and outputs an integer value representing the count of unique characters found.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 1 input: string input_string. function[1] is comparing the input string with a predefined string ""2357BD"" and counting the number of matches on input_string, and outputs an integer value representing the count of matches."
CPP_79,"There are 1 functions in the code: function[1] takes 1 inputs: int decimal. function[1] is converting the decimal number to binary format on decimal, and outputs a string representing the binary number with ""db"" characters at the beginning and end.",,"There are 3 functions in the code:
- function[1] takes 2 inputs: vector<string> s, int number. function[1] is converting a decimal number to its binary representation on s, number, and outputs void.
- function[2] takes 1 inputs: vector<string> s. function[2] is appending a string to the vector on s, and outputs void.
- function[3] takes 2 inputs: vector<string> s, const char* format. function[3] is formatting a string based on the given format and appending it to the vector on s, format, and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_51,"There are 1 functions in the code: function[1] takes 1 inputs: string text. function[1] is removing vowels from the input string text, and outputs a string without vowels.",,"There is 1 function in the code, function[1] takes 2 inputs: vector<char> s, vector<char> result. function[1] is removing vowels from the input string s, and outputs the modified string result.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_45,"There are 1 functions in the code: function[1] takes 2 inputs: float a, float h. function[1] is calculating the area of a triangle using the base and height on a, h, and outputs a float value representing the area.","There is 1 function in the code:
function[1] takes 2 inputs: float a, float b. function[1] is calculating the area of a triangle with base a and height b, and outputs float. 
<|im_end|>","There is 1 function in the code, function[1] takes 2 inputs: float base, float height. function[1] is calculating the area of a triangle using the base and height, and outputs the area as a float.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: float, float. function[1] is calculating the area of a triangle on , , and outputs the calculated area."
CPP_92,"There are 1 functions in the code: function[1] takes 3 inputs: float a, float b, float c. function[1] is checking if one of the numbers is equal to the sum of the other two and if all numbers are integers on a, b, c, and outputs a boolean value indicating the result.","There is 1 function in the code:
function[1] takes 3 inputs: float input1, float input2, float input3.
function[1] is checking if any of the three input floats are not equal to their rounded values on input1, input2, input3, and outputs a boolean value indicating if any of the inputs are not equal to their rounded values. 
<|im_end|>","There is 1 function in the code, function[1] takes 3 inputs: float input1, float input2, float input3. function[1] is checking if any of the inputs are equal to the sum of any two of the other inputs on input1, input2, input3, and outputs a boolean value indicating if such a condition is met.","There is 1 function in the code, function[1] takes 3 inputs: float input1, float input2, float input3. Function[1] is checking if any of the inputs are not rounded to the nearest integer on input1, input2, input3, and outputs a boolean value.","There is 1 function in the code, function[1] takes 3 inputs: float %0, float %1, float %2. function[1] is checking if any two of the input floats are equal to the sum of the other two or if any of the input floats are not equal to their rounded values on %0, %1, %2, and outputs a boolean value indicating if such conditions exist."
CPP_86,"There are 1 functions in the code: function[1] takes 1 inputs: string s. function[1] is sorting the characters of each word in the string based on ascii value, while keeping the order of words and blank spaces, and outputs a string.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<string> s1, vector<string> s2. Function[1] is performing an anti-shuffle operation on s1, s2, and outputs a vector<string> containing the shuffled elements.",,
CPP_156,"There are 1 functions in the code: function[1] takes 1 inputs: int number. function[1] is converting the integer number to its roman numeral equivalent in lowercase, and outputs a string.",,"There are 1 functions in the code: function[1] takes 2 inputs: %""class.std::__cxx11::basic_string""* s, i32 num. Function[1] is converting an integer to a Roman numeral representation on s, num, and outputs void.",,
CPP_142,"There are 1 functions in the code: function[1] takes 1 inputs: vector<int> lst. function[1] is squaring the integer entry if its index is a multiple of 3 and cubing the integer entry if its index is a multiple of 4 and not a multiple of 3 on lst, and outputs the sum of all entries.","There is 1 function in the code:
function[1] takes 2 inputs: vector<int> numbers, int threshold.
function[1] is calculating the sum of squares of all elements in the vector on numbers, threshold, and outputs an int value. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is calculating the sum of the squares of the elements in the vector, and outputs an integer value representing the total sum.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] is calculating the sum of squares of elements in the vector numbers and outputs an integer value as the result.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is calculating the sum of squares of elements in the vector on numbers, and outputs an integer value representing the sum of squares."
CPP_154,"There are 1 functions in the code: function[1] takes 2 inputs: string a, string b. function[1] is checking if the second word or any of its rotations is a substring in the first word a, b, and outputs a boolean value indicating if such a substring exists.",,"There is 1 function in the code, function[1] takes 2 inputs: vector<string> str1, vector<string> str2. function[1] is checking if the strings in str1 and str2 have a certain cyclical pattern, and outputs a boolean value indicating if such a pattern exists.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_140,"There are 1 functions in the code: function[1] takes 1 inputs: string text. function[1] is replacing all spaces in the string with underscores and replacing consecutive spaces with a hyphen on text, and outputs a string with the modified text.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",,
CPP_90,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<int> lst.
function[1] is returning the 2nd smallest element of the vector on lst, and outputs an integer value or -1 if there is no such element.",,"There are 3 functions in the code: 
- function[1] takes 1 input: vector<int> numbers. 
- Function[1] is finding the next smallest element in the vector numbers and outputs an integer value representing that element.

- function[2] takes 2 inputs: vector<int> numbers, int size. 
- Function[2] is performing introsort on the vector numbers of given size and outputs nothing.

- function[3] takes 2 inputs: vector<int> numbers, int size. 
- Function[3] is performing final insertion sort on the vector numbers of given size and outputs nothing.",,
CPP_84,"There are 1 functions in the code: function[1] takes 1 inputs: int N. function[1] is calculating the sum of the digits of N in decimal, converting that sum to binary, and outputs a string representing the binary number.",,"There are 2 functions in the code: function[1] takes 2 inputs: class std::__cxx11::basic_string str, int value. function[1] is formatting the integer value into a string representation and outputs class std::__cxx11::basic_string. function[2] takes 1 input: class std::__cxx11::basic_string str. function[2] is processing the string str to perform certain operations and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_53,"There are 1 functions in the code: function[1] takes 2 inputs: int x, int y. function[1] is adding the two integers x and y, and outputs the sum of x and y.","There is 1 function in the code:
function[1] takes 2 inputs: i32 num1, i32 num2.
function[1] is adding num1 and num2 on num1, num2, and outputs i32.","There is 1 function in the code, function[1] takes 2 inputs: i32 a, i32 b. function[1] is adding the two integers a and b, and outputs the sum as an integer.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: i32 num1, i32 num2. function[1] is adding num1 and num2 on num1, num2, and outputs the sum of the two numbers."
CPP_47,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<float> l.
function[1] is returning the median of elements in the vector l, and outputs a float value representing the median.",,"There are 3 functions in the code: 
- function[1] takes 1 input: vector<float> numbers. function[1] is calculating the median of the elements in numbers and outputs a float value representing the median.
- function[2] takes 3 inputs: float* start, float* end, struct.__gnu_cxx::__ops::_Iter_less_iter* comparator. function[2] is performing introsort on the range defined by start and end using the comparator, and outputs void.
- function[3] takes 2 inputs: float* start, float* end. function[3] is performing final insertion sort on the range defined by start and end, and outputs void.",,
CPP_46,"There are 1 functions in the code: function[1] takes 1 input: int n. function[1] is computing the n-th element of the fib4 number sequence on n, and outputs an integer value representing the n-th fib4 number.","There is 1 function in the code:
function[1] takes 2 inputs: vector<float> numbers, float threshold.
function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: int n. function[1] is calculating the nth Fibonacci number using dynamic programming on n, and outputs an integer value representing the Fibonacci number.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 1 input: i32 n. function[1] is calculating the nth Fibonacci number on n, and outputs the calculated Fibonacci number."
CPP_52,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> l, int t. function[1] is checking if all numbers in the vector are below the threshold on l, t, and outputs a boolean value indicating if all numbers are below the threshold.","There is 1 function in the code:
function[1] takes 2 inputs: vector<int> numbers, int threshold.
function[1] is checking if any element in the vector is below the given threshold on numbers, threshold, and outputs a boolean value indicating if such an element exists. 
<|im_end|>","There is 1 function in the code, function[1] takes 2 inputs: vector<int> numbers, int threshold. function[1] is checking if there are any elements in the vector that are below the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<int> numbers, int threshold. function[1] is checking if all elements in the vector are below the given threshold on numbers, threshold, and outputs a boolean value indicating if all elements are below the threshold."
CPP_85,"There are 1 functions in the code: function[1] takes 1 inputs: vector<int> lst. function[1] is adding the even elements that are at odd indices on lst, and outputs an integer sum of those elements.","There is 1 function in the code:
function[1] takes 2 inputs: vector<float> numbers, float threshold.
function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is calculating the sum of the elements in the vector and outputs an integer value representing the sum.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] is adding elements in the vector in groups of 4 and outputs the sum of each group.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is summing the even numbers in the vector on numbers, and outputs the sum of the even numbers."
CPP_91,"There are 1 functions in the code:
function[is_bored (is_bored in 1)] takes 1 inputs: string S.
function[is_bored (is_bored in 1)] is counting the number of sentences that start with the word ""I"" on input S, and outputs an integer representing the count of such sentences.","There is 1 function in the code, function[1] takes 2 inputs: string str, int i. function[1] is checking if the given string is bored on str, i, and outputs an integer value. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<string> input_string. function[1] is counting specific characters in the input_string and outputs an integer value representing the count.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 1 input: string input_string. function[1] is checking if the input string is boring on input_string, and outputs an integer value indicating the level of boredom."
CPP_141,"There are 1 functions in the code: function[1] takes 1 inputs: string file_name. function[1] is checking if the file name is valid based on specific criteria on file_name, and outputs a string indicating ""Yes"" or ""No"".",,"There is 1 function in the code, function[1] takes 2 inputs: %""class.std::__cxx11::basic_string""* file_name, %""class.std::__cxx11::basic_string""* extension. function[1] is checking the file name against certain extensions and outputs a modified file name based on the checks.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_155,"There are 1 functions in the code:
function[1] takes 1 inputs: int num.
function[1] is counting the number of even and odd digits in the absolute value of num, and outputs a vector<int> containing the counts of even and odd digits respectively.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<float> numbers, int value. function[1] is counting the number of even and odd integers in the vector, and outputs a vector<float> containing the counts of even and odd integers.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_151,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<float> lst.
function[1] is returning the sum of squares of the odd positive integers in the vector lst, and outputs a long long integer representing the calculated sum.","There is 1 function in the code:
function[1] takes 2 inputs: vector<float> numbers, float threshold.
function[1] is calculating the difference between each pair of elements in the vector and outputs a long integer representing the sum of the differences.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is calculating the double of the difference between the first and last elements of the vector, and outputs a long integer value representing the result.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] is doubling the difference between two elements in the vector on numbers, and outputs an integer value.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is calculating the sum of squares of rounded numbers that meet certain conditions on numbers, and outputs the sum."
CPP_145,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<int> nums. function[1] is sorting the given vector of integers in ascending order according to the sum of their digits, and outputs a vector<int> containing the sorted integers.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> numbers, vector<int> other_numbers. Function[1] is ordering the elements in the first vector based on the elements in the second vector, and outputs a vector<int> containing the ordered elements.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_95,"There are 1 functions in the code: function[1] takes 1 inputs: map<string,string> dict. function[1] is checking if all keys in the map are either in lower case or upper case, and outputs a boolean value indicating if the condition is met.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<string> map. function[1] is checking if the strings in the map match certain criteria, and outputs a boolean value indicating if such matches exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_81,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<float> grades.
function[1] is mapping GPAs to letter grades based on a grading scale on grades, and outputs a vector<string> containing the corresponding letter grades.",,"There are 1 functions in the code:
- function[1] takes 2 inputs: vector<float> numbers, float threshold.
- Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",,
CPP_56,"There are 1 functions in the code: function[1] takes 1 inputs: string brackets. function[1] is checking if every opening bracket has a corresponding closing bracket on brackets, and outputs a boolean value indicating if the bracketing is correct.","There is 1 function in the code:
function[1] takes 2 inputs: string str, float threshold.
function[1] is checking if the given string contains correctly balanced brackets on str, threshold, and outputs a boolean value indicating if the brackets are balanced.","There is 1 function in the code, function[1] takes 1 input: vector<string> inputString. function[1] is checking if the brackets in the input string are correctly matched, and outputs a boolean value indicating if the bracketing is correct.","There is 1 function in the code, function[1] takes 1 input: class.std::__cxx11::basic_string* input_string. Function[1] is checking if the brackets in the input_string are correctly paired and nested, and outputs a boolean value indicating the correctness of the bracketing.","There is 1 function in the code, function[1] takes 1 input: string input_string. function[1] is checking if the brackets in the input string are correctly balanced on input_string, and outputs a boolean value indicating if the brackets are correctly balanced."
CPP_42,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<int> l.
function[1] is incrementing each element of the vector by 1 on l, and outputs a vector<int> with the incremented values.","There is 1 function in the code:
- function[1] takes 2 inputs: vector<float> numbers, float threshold.
- function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 2 inputs: vector<int> numbers, vector<int> other_numbers. function[1] is incrementing the elements of the first vector based on the values from the second vector, and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<int> numbers, vector<int> numbers. function[1] is incrementing all elements in the vector by 1 on numbers, numbers, and outputs a vector with the incremented elements."
CPP_43,"There are 1 functions in the code: function[1] takes 1 inputs: vector<int> l. function[1] is checking if there are two distinct elements in the vector that sum to zero on l, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code:
function[1] takes 2 inputs: vector<int> numbers, float threshold.
function[1] is checking if any two elements in the vector sum to zero on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is checking if there are any pairs of elements in the vector that sum to zero on numbers, and outputs a boolean value indicating if such pairs exist.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. Function[1] is checking if pairs of elements in the vector sum up to zero on numbers, and outputs a boolean value.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is checking if any two elements in the vector sum to zero on numbers, and outputs a boolean value indicating if such elements exist."
CPP_57,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<float> l.
function[1] is checking if the elements in the vector are monotonically increasing or decreasing on l, and outputs a boolean value indicating if the vector is monotonic.","There is 1 function in the code:
- function[1] takes 2 inputs: vector<float> numbers, float threshold.
- function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is checking if the elements in the vector are monotonically increasing, and outputs a boolean value indicating if they are not.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] is performing a monotonic check on the vector elements and outputs a boolean value indicating if the elements are monotonic.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. function[1] is checking if the elements in the vector are monotonic on numbers, and outputs a boolean value indicating if the elements are monotonic."
CPP_80,"There are 1 functions in the code: function[1] takes 1 inputs: string s. function[1] is checking if the string is happy based on its length and distinctness of every 3 consecutive letters on s, and outputs a boolean value indicating if the string is happy.","There is 1 function in the code, function[1] takes 2 inputs: string str. function[1] is checking if the string is happy on str, and outputs a boolean value indicating if the string is happy.","There is 1 function in the code, function[1] takes 1 input: vector<string> input_string. function[1] is checking if the input string is a happy string, and outputs a boolean value indicating if the string is happy.","There is 1 function in the code, function[1] takes 1 input: class.std::__cxx11::basic_string* string. Function[1] is checking if the input string is ""happy"" by comparing its characters and outputs a boolean value.","There is 1 function in the code, function[1] takes 1 input: string input_string. function[1] is checking if the input string is a ""happy"" string on input_string, and outputs a boolean value indicating if the string is ""happy""."
